id,cohort,seed,character,strategy,outcome,survivedSeconds,damageReceived,blockedHits,coins,score,hazardsCleared,finalEnergy,perkChoices,events,bossPhaseReached,bossDefeated,bossHealthRemaining,realSeconds,timedOut,spawned_email,cleared_email,damage_email,spawned_meeting,cleared_meeting,damage_meeting,spawned_kpi,cleared_kpi,damage_kpi,spawned_manager,cleared_manager,damage_manager,spawned_hr,cleared_hr,damage_hr,spawned_client,cleared_client,damage_client,spawned_deadline,cleared_deadline,damage_deadline,spawned_review,cleared_review,damage_review
baseline-01,baseline,310001,red-recruit,aggressive,victory,360,8,0,334,371527,785,84,reply|reply|reply|printer|reply|reply|reply,printer-rebellion|reply-storm|printer-rebellion|performance-review,4,true,0,63.36,false,450,448,8,128,127,0,108,108,0,30,30,0,30,29,0,30,30,0,12,8,0,5,5,0
baseline-02,baseline,317920,blue-recruit,aggressive,victory,360,14,2,968,401393,724,111,printer|coffee|coffee|coffee|reply|printer|reply,printer-rebellion|wellness-hour|performance-review|reply-storm,4,true,0,63.33,false,393,390,14,133,130,0,112,112,0,23,21,0,33,30,0,31,31,0,12,1,0,11,9,0
baseline-03,baseline,325839,red-recruit,balanced,victory,360,24,0,782,327060,744,92,coffee|shield|coffee|shield|shield|coffee|snack,performance-review|printer-rebellion|performance-review|printer-rebellion,4,true,0,63.16,false,434,432,24,111,109,0,130,126,0,26,25,0,38,13,0,32,32,0,15,0,0,7,7,0
baseline-04,baseline,333758,blue-recruit,balanced,victory,360,25,2,816,272542,681,108,reply|shield|coffee|coffee|snack|shield|coffee,performance-review|calendar-purge|reply-storm|calendar-purge,4,true,0,63.42,false,425,414,7,125,120,0,90,82,18,29,24,0,28,20,0,16,15,0,12,1,0,6,5,0
baseline-05,baseline,341677,red-recruit,defensive,victory,360,0,0,841,319988,697,108,shield|escape|shield|shield|snack|snack|shield,calendar-purge|printer-rebellion|reply-storm|calendar-purge,4,true,0,63.87,false,407,402,0,122,120,0,92,86,0,29,28,0,33,23,0,32,31,0,15,0,0,7,7,0
baseline-06,baseline,349596,blue-recruit,defensive,victory,360,20,1,1008,313508,743,150,escape|shield|coffee|snack|snack|snack|snack,wellness-hour|reply-storm|printer-rebellion|calendar-purge,4,true,0,64.14,false,420,416,12,138,135,0,98,96,8,33,32,0,31,13,0,48,46,0,8,0,0,7,5,0
baseline-07,baseline,357515,red-recruit,aggressive,victory,360,66,0,769,389533,710,26,coffee|coffee|escape|printer|coffee|printer|coffee,performance-review|wellness-hour|calendar-purge|performance-review,4,true,0,62.62,false,396,394,0,127,126,0,101,99,13,37,35,23,22,20,0,27,27,0,16,5,0,5,4,0
baseline-08,baseline,365434,blue-recruit,aggressive,victory,360,26,2,973,444980,688,99,printer|shield|shield|printer|printer|shield|printer,printer-rebellion|performance-review|calendar-purge|wellness-hour,4,true,0,62.63,false,371,366,10,126,121,6,109,108,10,27,25,0,33,30,0,29,28,0,18,1,0,9,9,0
baseline-09,baseline,373353,red-recruit,balanced,victory,360,0,0,722,324843,736,92,shield|shield|shield|reply|reply|shield|reply,performance-review|calendar-purge|performance-review|reply-storm,4,true,0,63.2,false,427,421,0,129,125,0,102,101,0,23,23,0,38,35,0,18,18,0,13,1,0,12,12,0
baseline-10,baseline,381272,blue-recruit,balanced,victory,360,16,1,915,329010,743,126,reply|shield|snack|shield|reply|shield|reply,calendar-purge|performance-review|calendar-purge|printer-rebellion,4,true,0,63.17,false,404,401,6,130,129,0,103,99,0,35,33,0,45,38,10,31,31,0,12,4,0,8,8,0
baseline-11,baseline,389191,red-recruit,defensive,victory,360,49,0,773,309058,678,131,snack|snack|coffee|snack|coffee|snack|snack,printer-rebellion|reply-storm|performance-review|calendar-purge,4,true,0,62.61,false,379,373,0,126,123,0,115,110,26,23,22,23,38,16,0,28,27,0,8,1,0,6,6,0
baseline-12,baseline,397110,blue-recruit,defensive,victory,360,27,1,921,311553,727,115,escape|reply|snack|reply|escape|escape|coffee,printer-rebellion|reply-storm|calendar-purge|performance-review,4,true,0,62.58,false,412,409,14,133,129,13,94,94,0,29,26,0,28,22,0,39,37,0,10,0,0,12,10,0
baseline-13,baseline,405029,red-recruit,aggressive,victory,360,35,0,716,293830,660,81,coffee|coffee|escape|snack|shield|coffee|coffee,calendar-purge|wellness-hour|calendar-purge|wellness-hour,4,true,0,61.92,false,374,366,16,133,130,0,93,89,0,20,16,19,30,16,0,35,34,0,21,1,0,8,8,0
baseline-14,baseline,412948,blue-recruit,aggressive,victory,360,55,2,996,304869,748,85,snack|escape|coffee|coffee|coffee|coffee|coffee,calendar-purge|printer-rebellion|performance-review|reply-storm,4,true,0,61.95,false,431,428,21,130,126,0,112,110,22,32,29,0,38,26,12,25,25,0,16,0,0,4,4,0
baseline-15,baseline,420867,red-recruit,balanced,victory,360,8,0,717,398899,697,116,snack|printer|snack|snack|reply|printer|reply,calendar-purge|performance-review|calendar-purge|wellness-hour,4,true,0,63.05,false,362,360,8,140,138,0,99,95,0,27,26,0,41,37,0,33,33,0,10,3,0,5,5,0
baseline-16,baseline,428786,blue-recruit,balanced,victory,360,42,2,965,358347,783,138,snack|reply|snack|snack|printer|reply|snack,wellness-hour|reply-storm|performance-review|printer-rebellion,4,true,0,63.61,false,465,464,21,126,125,0,102,99,10,26,25,0,40,34,0,23,23,11,16,3,0,10,10,0
baseline-17,baseline,436705,red-recruit,defensive,victory,360,37,0,682,313185,731,55,coffee|escape|escape|reply|reply|escape|coffee,performance-review|printer-rebellion|calendar-purge|reply-storm,4,true,0,62.46,false,413,409,8,142,139,16,103,102,13,19,18,0,32,26,0,29,27,0,19,5,0,6,5,0
baseline-18,baseline,444624,blue-recruit,defensive,victory,360,14,1,877,295209,710,118,reply|escape|escape|escape|coffee|escape|reply,reply-storm|wellness-hour|calendar-purge|performance-review,4,true,0,62.51,false,422,419,14,117,114,0,92,87,0,22,21,0,39,28,0,35,32,0,12,0,0,11,9,0
baseline-19,baseline,452543,red-recruit,aggressive,victory,360,19,0,834,339111,790,81,shield|escape|snack|shield|shield|shield|escape,printer-rebellion|reply-storm|printer-rebellion|reply-storm,4,true,0,63.42,false,488,483,5,112,110,0,109,105,14,32,31,0,35,29,0,30,30,0,12,0,0,3,2,0
baseline-20,baseline,460462,blue-recruit,aggressive,victory,360,39,2,1043,320895,729,86,escape|shield|escape|escape|reply|escape|shield,calendar-purge|printer-rebellion|wellness-hour|printer-rebellion,4,true,0,63.67,false,398,394,11,125,121,8,108,105,0,38,36,12,33,20,8,43,41,0,20,1,0,11,11,0
baseline-21,baseline,468381,red-recruit,balanced,victory,360,42,0,777,319768,691,132,snack|snack|escape|snack|snack|snack|escape,calendar-purge|performance-review|reply-storm|printer-rebellion,4,true,0,63.14,false,407,402,16,105,98,0,103,101,26,30,28,0,35,16,0,33,32,0,13,1,0,16,13,0
baseline-22,baseline,476300,blue-recruit,balanced,victory,360,14,1,914,276299,651,158,coffee|snack|snack|snack|snack|snack|escape,reply-storm|calendar-purge|wellness-hour|printer-rebellion,4,true,0,62.99,false,373,369,14,94,92,0,110,108,0,26,26,0,35,18,0,26,26,0,19,1,0,12,11,0
baseline-23,baseline,484219,red-recruit,defensive,victory,360,0,0,560,391146,762,92,printer|coffee|reply|shield|reply|reply|coffee,performance-review|wellness-hour|reply-storm|performance-review,4,true,0,62.99,false,443,441,0,135,132,0,87,83,0,29,29,0,38,34,0,25,25,0,20,7,0,11,11,0
baseline-24,baseline,492138,blue-recruit,defensive,victory,360,27,1,823,322588,748,91,reply|coffee|coffee|reply|coffee|reply|shield,calendar-purge|performance-review|calendar-purge|performance-review,4,true,0,63.28,false,430,425,14,138,132,13,84,84,0,27,26,0,48,41,0,26,26,0,18,5,0,9,9,0
baseline-25,baseline,500057,red-recruit,aggressive,victory,360,13,0,766,357538,742,116,shield|shield|reply|snack|snack|printer|snack,wellness-hour|reply-storm|wellness-hour|printer-rebellion,4,true,0,65.26,false,413,406,0,106,104,13,128,128,0,24,23,0,37,34,0,32,30,0,20,6,0,11,11,0
baseline-26,baseline,507976,blue-recruit,aggressive,victory,360,19,2,942,287177,699,122,shield|snack|shield|shield|shield|snack|shield,calendar-purge|wellness-hour|calendar-purge|printer-rebellion,4,true,0,65.75,false,400,397,7,126,122,8,104,103,0,30,26,0,43,10,0,31,30,4,12,0,0,11,11,0
