id,cohort,seed,character,strategy,outcome,survivedSeconds,damageReceived,blockedHits,coins,score,hazardsCleared,finalEnergy,perkChoices,events,bossPhaseReached,bossDefeated,bossHealthRemaining,realSeconds,timedOut,spawned_email,cleared_email,damage_email,spawned_meeting,cleared_meeting,damage_meeting,spawned_kpi,cleared_kpi,damage_kpi,spawned_manager,cleared_manager,damage_manager,spawned_hr,cleared_hr,damage_hr,spawned_client,cleared_client,damage_client,spawned_deadline,cleared_deadline,damage_deadline,spawned_review,cleared_review,damage_review
baseline-01,baseline,310001,red-recruit,aggressive,timeout,168,16,0,201,224949,677,0,coffee|reply|reply,performance-review|wellness-hour,0,false,40,88.27,true,456,454,16,143,142,0,65,65,0,0,0,0,14,13,0,4,3,0,0,0,0,0,0,0
baseline-02,baseline,317920,blue-recruit,aggressive,timeout,161.9,21,1,231,219848,691,0,reply|reply|reply,calendar-purge|performance-review,0,false,40,86.36,true,480,478,21,125,125,0,72,71,0,0,0,0,13,11,0,6,6,0,0,0,0,0,0,0
baseline-03,baseline,325839,red-recruit,balanced,timeout,166.7,40,0,341,240568,760,0,coffee|shield|shield,reply-storm|printer-rebellion,0,false,40,85.62,true,546,545,40,108,107,0,84,84,0,0,0,0,17,14,0,11,10,0,0,0,0,0,0,0
baseline-04,baseline,333758,blue-recruit,balanced,timeout,158.5,34,2,503,197561,666,0,coffee|coffee|snack,printer-rebellion|calendar-purge,0,false,40,86.05,true,484,482,21,128,121,13,55,55,0,0,0,0,9,7,0,1,1,0,0,0,0,0,0,0
baseline-05,baseline,341677,red-recruit,defensive,timeout,163.8,32,0,300,223426,759,0,escape|shield|escape,printer-rebellion|reply-storm,0,false,40,86.25,true,586,584,32,91,90,0,71,69,0,0,0,0,12,9,0,8,7,0,0,0,0,0,0,0
baseline-06,baseline,349596,blue-recruit,defensive,timeout,177.4,35,2,698,238320,739,0,shield|shield|shield,calendar-purge|printer-rebellion,0,false,40,85.58,true,474,472,24,149,147,6,105,105,5,1,1,0,24,9,0,5,5,0,0,0,0,0,0,0
baseline-07,baseline,357515,red-recruit,aggressive,timeout,157.2,8,0,182,241283,690,0,printer|coffee|printer,reply-storm|wellness-hour,0,false,40,85.91,true,507,504,8,119,118,0,62,62,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0
baseline-08,baseline,365434,blue-recruit,aggressive,timeout,156.8,18,1,516,217648,704,0,shield|coffee|printer,printer-rebellion|reply-storm,0,false,40,85.46,true,513,506,18,116,116,0,70,70,0,0,0,0,10,8,0,4,4,0,0,0,0,0,0,0
baseline-09,baseline,373353,red-recruit,balanced,timeout,156.1,16,0,263,214740,682,0,reply|reply|shield,reply-storm|printer-rebellion,0,false,40,85.72,true,472,470,16,115,115,0,92,87,0,0,0,0,8,7,0,3,3,0,0,0,0,0,0,0
baseline-10,baseline,381272,blue-recruit,balanced,timeout,153.7,14,2,298,197195,646,0,reply|snack|shield,performance-review|calendar-purge,0,false,40,86.52,true,465,464,14,130,126,0,50,49,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0
