id,cohort,seed,character,strategy,outcome,survivedSeconds,damageReceived,blockedHits,deadlineDetonations,deadlineDodges,coins,score,hazardsCleared,finalEnergy,perkChoices,events,bossPhaseReached,bossDefeated,bossHealthRemaining,realSeconds,timedOut,spawned_email,cleared_email,damage_email,spawned_meeting,cleared_meeting,damage_meeting,spawned_kpi,cleared_kpi,damage_kpi,spawned_manager,cleared_manager,damage_manager,spawned_hr,cleared_hr,damage_hr,spawned_client,cleared_client,damage_client,spawned_deadline,cleared_deadline,damage_deadline,spawned_review,cleared_review,damage_review
post-tune-01,post-tune,310001,red-recruit,aggressive,victory,360,8,0,3,3,577,398614,789,92,reply|coffee|reply|printer|reply|reply|coffee,performance-review|reply-storm|wellness-hour|printer-rebellion,4,true,0,67.03,false,417,416,8,131,129,0,121,120,0,35,35,0,37,35,0,33,33,0,16,12,0,10,9,0
post-tune-02,post-tune,317920,blue-recruit,aggressive,victory,360,14,1,4,4,951,463162,768,118,coffee|reply|printer|printer|reply|reply|reply,wellness-hour|reply-storm|calendar-purge|performance-review,4,true,0,66.17,false,416,413,14,124,123,0,104,102,0,34,34,0,42,40,0,34,34,0,9,5,0,17,17,0
post-tune-03,post-tune,325839,red-recruit,balanced,victory,360,24,0,8,8,858,345491,766,100,coffee|snack|shield|coffee|shield|coffee|shield,wellness-hour|printer-rebellion|wellness-hour|performance-review,4,true,0,67.41,false,452,449,24,118,112,0,113,112,0,28,25,0,23,17,0,44,44,0,9,0,0,7,7,0
post-tune-04,post-tune,333758,blue-recruit,balanced,victory,360,46,2,14,14,961,307094,749,86,shield|coffee|coffee|coffee|coffee|reply|shield,reply-storm|performance-review|wellness-hour|reply-storm,4,true,0,67.79,false,443,440,20,136,129,8,104,101,8,29,25,0,49,21,10,24,23,0,14,0,0,10,10,0
post-tune-05,post-tune,341677,red-recruit,defensive,victory,360,28,0,13,13,872,331388,703,111,snack|shield|snack|shield|shield|escape|snack,calendar-purge|wellness-hour|printer-rebellion|calendar-purge,4,true,0,65.59,false,378,376,7,136,130,12,106,103,9,24,22,0,39,26,0,34,33,0,16,1,0,12,12,0
post-tune-06,post-tune,349596,blue-recruit,defensive,victory,360,15,1,11,11,1012,315474,721,150,coffee|shield|snack|shield|snack|snack|snack,wellness-hour|reply-storm|wellness-hour|printer-rebellion,4,true,0,66.05,false,414,409,8,108,103,0,106,103,0,32,31,0,29,21,0,38,38,7,13,1,0,15,15,0
post-tune-07,post-tune,357515,red-recruit,aggressive,victory,360,10,0,9,9,877,614477,762,82,printer|coffee|printer|printer|printer|printer|coffee,printer-rebellion|performance-review|printer-rebellion|performance-review,4,true,0,66.36,false,388,387,10,125,121,0,131,130,0,32,32,0,37,32,0,39,39,0,17,7,0,15,14,0
post-tune-08,post-tune,365434,blue-recruit,aggressive,victory,360,40,2,12,12,1023,472687,742,78,escape|printer|escape|printer|printer|coffee|coffee,printer-rebellion|performance-review|calendar-purge|printer-rebellion,4,true,0,65.96,false,397,391,14,146,143,13,108,108,0,32,29,0,32,27,0,23,21,0,19,7,0,16,16,13
post-tune-09,post-tune,373353,red-recruit,balanced,victory,360,7,0,14,14,619,344498,746,108,shield|reply|reply|snack|snack|reply|reply,performance-review|calendar-purge|reply-storm|printer-rebellion,4,true,0,67.64,false,387,383,7,143,138,0,106,105,0,35,34,0,39,38,0,30,29,0,20,6,0,14,13,0
post-tune-10,post-tune,381272,blue-recruit,balanced,victory,360,20,1,8,8,1011,318258,678,114,snack|shield|snack|shield|reply|shield|reply,wellness-hour|reply-storm|performance-review|calendar-purge,4,true,0,67.9,false,338,334,12,145,140,0,105,103,8,35,34,0,60,25,0,36,34,0,9,0,0,8,8,0
post-tune-11,post-tune,389191,red-recruit,defensive,victory,360,13,0,11,11,856,343120,722,124,snack|snack|snack|coffee|escape|coffee|snack,printer-rebellion|calendar-purge|reply-storm|printer-rebellion,4,true,0,65.71,false,397,395,0,132,129,0,98,97,13,36,32,0,25,20,0,43,43,0,12,0,0,6,6,0
post-tune-12,post-tune,397110,blue-recruit,defensive,victory,360,14,1,11,11,916,278813,689,150,escape|snack|snack|coffee|snack|snack|coffee,wellness-hour|reply-storm|wellness-hour|calendar-purge,4,true,0,66.37,false,404,402,14,135,131,0,90,89,0,25,21,0,23,11,0,30,29,0,12,0,0,7,6,0
